id,smile,can_smiles
628,ClC1=NN=C(C=C1)NC2CC(C)(C)NC(C)(C)C2,CC1(C)CC(CC(C)(C)N1)NC1C=CC(Cl)=NN=1
629,C=CC1=C(B(O)O)C=C(F)C=C1,C=CC1C=CC(F)=CC=1B(O)O
630,O=C1CSCCSC1,O=C1CSCCSC1
631,BrCCC(C)N(C(C)(C)C)c1c(C)cc(Br)c(C)c1,Cc1cc(Br)c(C)cc1N(C(C)CCBr)C(C)(C)C
632,OC(=O)CC1NC(=NN=1)C2=CC=C(Cl)C=C2,OC(=O)CC1NC(=NN=1)C1C=CC(Cl)=CC=1
633,c1ccc(cc1)C(=O)NS(=O)(=O)c2ccc(cc2)N(c3ncccc3)C(=O)c4ccccc4,O=C(c1ccccc1)N(c1cccc[n]1)c1ccc(cc1)S(=O)(=O)NC(=O)c1ccccc1
634,Cl.N[C@H]1C[C@H](F)CC1,Cl.N[C@H]1C[C@H](F)CC1
635,CCCCOC(=O)CN(C(C)C(=O)OC)c1sc(=S)nn1,COC(=O)C(C)N(CC(=O)OCCCC)c1[n][nH]c(=S)[s]1
636,C=CCOc1cc(ccc1)B2OC(C)(C)C(C)(C)O2,CC1(C)OB(OC1(C)C)c1cc(ccc1)OCC=C
637,ClC1C=C(NCC2NCCC2)C(C)=CC=1,CC1=CC=C(Cl)C=C1NCC1CCCN1
638,OC(=O)C1C=C(N(C)N=1)C2N(C)C(S)=NN=2,CN1C(S)=NN=C1C1=CC(=NN1C)C(O)=O
639,OCC(O)CN(C(CC(C)C)C(O)=O)c1cc(C)c(cc1)S(=O)(O)=O,Cc1cc(ccc1S(O)(=O)=O)N(CC(O)CO)C(CC(C)C)C(O)=O
640,COC(=O)C1=CC(O)=C(N(C)C)C=C1,COC(=O)C1=CC(O)=C(C=C1)N(C)C
641,CCCCCCCCC(=O)N(CC(O)CO)c1c(cccc1)C(O)=O,CCCCCCCCC(=O)N(CC(O)CO)c1ccccc1C(O)=O
642,CC(C)CN1C2=C(C(C)CC2)C(O)=N1,CC(C)CN1N=C(O)C2C(C)CCC1=2
643,Br.BrCC1=CC(N)=CC=C1,Br.NC1C=C(CBr)C=CC=1
644,CNC(C(N)=O)(C)C1=CC=NC=C1,CNC(C)(C(N)=O)C1C=CN=CC=1
645,ClC1=CC=C(C=C1)C2=C3N(N=C2C)C4=C(C=N3)C(=O)N(CCC5C6=C(C=CC=C6)NC=5)C=C4,CC1=NN2C3C=CN(CCC4=CNC5C=CC=CC4=5)C(=O)C=3C=NC2=C1C1C=CC(Cl)=CC=1
646,CCOC(=O)C(C(=O)OCC)N(Cc1cc(F)ccc1)C(=O)c2ccccc2,CCOC(=O)C(C(=O)OCC)N(Cc1cc(F)ccc1)C(=O)c1ccccc1
647,CCCNCC1SC=CC=1,CCCNCC1=CC=CS1
648,OC(=O)C1=CN(N=C1)CC2=CC=C(C=C2)C(F)(F)F,OC(=O)C1C=NN(CC2C=CC(=CC=2)C(F)(F)F)C=1
649,CCN(CC)CCNC(=O)c1c(OCC=C)cc(cc1)C(F)(F)F,CCN(CCNC(=O)c1ccc(cc1OCC=C)C(F)(F)F)CC
650,COC1=CC=C(C=C1)NC2=CN(C)N=C2,COC1C=CC(=CC=1)NC1C=NN(C)C=1
651,FC1=CC(=CC=C1)C2=NNNN2,FC1=CC(=CC=C1)C1NNNN=1
652,OC(=O)CCC1C(CC(C)C)=NNC=1,CC(C)CC1=NNC=C1CCC(O)=O
653,CCOC(=O)C1=CC=C(C=C1)[C@H](C)N2C(=O)CC(=N2)C3=CC(Cl)=CC(Cl)=C3,CCOC(=O)C1C=CC(=CC=1)[C@H](C)N1N=C(CC1=O)C1C=C(Cl)C=C(Cl)C=1
654,N#CNC(=N)NS(=O)(=O)c1ccc(C)cc1.CC(N)Cc1ccccc1,Cc1ccc(cc1)S(=O)(=O)NC(=N)NC#N.CC(N)Cc1ccccc1
655,O=C1CCC(CC1)(C#N)C2C(Cl)=CC(Cl)=CC=2,N#CC1(CCC(=O)CC1)C1=CC=C(Cl)C=C1Cl
656,COCC(=O)N(CCO)c1c(C)ccc([N+](=O)[O-])c1,Cc1ccc(cc1N(CCO)C(=O)COC)[N+]([O-])=O
657,CCOC(=O)NC(CN)c1ccccc1,CCOC(=O)NC(CN)c1ccccc1
658,ClC1=CC=C(C=C1)C2=C(N)N(N=C2)C3=CC(Cl)=C(F)C=C3,NC1=C(C=NN1C1=CC(Cl)=C(F)C=C1)C1C=CC(Cl)=CC=1
659,OCC1CCN(CC1)C(=O)C2C(C)=CC=C(N)C=2,CC1=CC=C(N)C=C1C(=O)N1CCC(CO)CC1
660,NC(=O)C1=CC(C)=NC(C)=C1,CC1=CC(=CC(C)=N1)C(N)=O
661,C1=CC=C(C=C1)NC(=O)CC2C(=O)N(CC)C(/S2)=N\S(=O)(=O)C3SC=CC=3,CCN1/C(=N\S(=O)(=O)C2=CC=CS2)/SC(CC(=O)NC2C=CC=CC=2)C1=O
662,ClC1=CC=C(C=C1)C2N=C(C(O)=O)C(C(O)=O)=NC=2,OC(=O)C1=NC(=CN=C1C(O)=O)C1C=CC(Cl)=CC=1
663,CCCCCCCCCCCCCCN(CCCCCl)c1c(C)cc(Br)c(C)c1,CCCCCCCCCCCCCCN(CCCCCl)c1cc(C)c(Br)cc1C
664,[Tl+].O=Cl(=O)[O-],[Tl+].[O-]Cl(=O)=O
665,N#CCC1C(Cl)(Cl)C1,N#CCC1CC1(Cl)Cl
666,C1CN(CC1)C2=C(F)C=C(C=C2)C=C3C(=O)C4C(=CC=CC=4)C3=O,O=C1C(=CC2=CC(F)=C(C=C2)N2CCCC2)C(=O)C2=CC=CC=C12
667,COC1=CC=C(C=C1)C(=O)OC(C2=CC=CC=C2)C(=O)C3=CC=C(C)C=C3,CC1C=CC(=CC=1)C(=O)C(OC(=O)C1C=CC(=CC=1)OC)C1C=CC=CC=1
668,[N-]=[N+]=NCCCN1CCCC1,[N-]=[N+]=NCCCN1CCCC1
