id,smile,can_smiles
135,O.O.O.C1/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@@]2(O)OC(C[C@H](/C=C\C=C/C=C\C=1)O[C@H]3[C@@H](O)[C@@H](N)[C@H](O)[C@@H](C)O3)([H])[C@H](C(O)=O)[C@@H](O)C2,O.O.O.C[C@H]1C=CC=CC=CC=CC=CC=CC=C[C@@H](CC2O[C@@](O)(C[C@H](O)[C@H]2C(O)=O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@@H]1O)O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N)[C@@H]1O
136,CCN1C(C2=CC=C(O)C=C2)=C(C)C3=C1C=CC(O)=C3,CC1C2C=C(O)C=CC=2N(CC)C=1C1C=CC(O)=CC=1
137,BrC1C(=CC=CC=1)C2SC3N(C=NN=3)N=2,BrC1=CC=CC=C1C1=NN2C=NN=C2S1
138,COC(=O)C(C)N(c1ccc(cc1)Oc2ccccc2)S(=O)(=O)CC,COC(=O)C(C)N(c1ccc(cc1)Oc1ccccc1)S(=O)(=O)CC
139,OC(=O)CC(C)N(c1ccccc1)c2ncc(Cl)cc2,CC(CC(O)=O)N(c1ccc(Cl)c[n]1)c1ccccc1
140,CC(C)(C)OC(=O)N1CC2(CN(CCC2)CC3=CC=CC=C3)C1,CC(C)(C)OC(=O)N1CC2(CN(CC3C=CC=CC=3)CCC2)C1
141,NCCC1(O)C2C(CCC1)C2,NCCC1(O)CCCC2CC12
142,Cl.COc1cc(cnc1)C(O)=O,Cl.COc1c[n]cc(c1)C(O)=O
143,NCC1N(C(=O)OC(C)(C)C)C(CCC1)C(C)C,CC(C)C1CCCC(CN)N1C(=O)OC(C)(C)C
144,CC(=C)CC1=CC=C(C=C1)OC2=CC=CC=C2,CC(=C)CC1C=CC(=CC=1)OC1C=CC=CC=1
145,CC(=O)N(CCc1ccccc1)c2c(C)cccc2,Cc1ccccc1N(CCc1ccccc1)C(C)=O
146,C=CCC1C(O)=C(OCC)C=C(C=1)\C=C2C(=O)N(C3=CC=CC=C3)C(=O)S\2,CCOC1C=C(C=C(CC=C)C=1O)/C=C1\SC(=O)N(C\1=O)C1C=CC=CC=1
147,NCC1C(Cl)=NC2C(=CC=CC=2Br)C=1,NCC1=CC2=CC=CC(Br)=C2N=C1Cl
148,NC1=C2N(N=C1)C(=CC=N2)C3CC3,NC1C=NN2C=1N=CC=C2C1CC1
149,Clc1ccc(cc1)CN(CCOc2cc(ccc2)C(F)(F)F)CCNc3c(Cl)cc(cn3)C(F)(F)F,FC(F)(F)c1c[n]c(NCCN(Cc2ccc(Cl)cc2)CCOc2cc(ccc2)C(F)(F)F)c(Cl)c1
150,Cl.Cl.CC1=CC(=NC=C1)OCC2CCNCC2,Cl.Cl.CC1=CC(=NC=C1)OCC1CCNCC1
151,C1=CC=C(C=C1)C2(C)NC(=O)NC2,CC1(CNC(=O)N1)C1C=CC=CC=1
152,O=[N+]([O-])C1C=C(/C=N/NC2=C(Cl)C=C(Cl)C=C2Cl)C(O)=CC=1,[O-][N+](=O)C1C=C(/C=N/NC2C(Cl)=CC(Cl)=CC=2Cl)C(O)=CC=1
153,[N-]=[N+]=NCCOCC(O)=O,[N-]=[N+]=NCCOCC(O)=O
154,[H]Cl.COC1C=C2C(=CC=1)OC3(CCNCC3)NC2=O,Cl.COC1C=C2C(=CC=1)OC1(CCNCC1)NC2=O
155,OC1=CC=C(C=C1)C(=O)NC2=C(C)C(Cl)=CC=C2,CC1C(Cl)=CC=CC=1NC(=O)C1C=CC(O)=CC=1
156,O=C1NC(=O)C(C(=O)N1)=CC2=CC3CC4(C(=O)N(C)C(=O)N(C)C4=O)C5N(CCC5)C=3C=C2,CN1C(=O)C2(CC3C=C(C=C4C(=O)NC(=O)NC4=O)C=CC=3N3CCCC23)C(=O)N(C)C1=O
157,CCOC1C(C)=CC(Br)=C(CO)C=1,CC1=CC(Br)=C(CO)C=C1OCC
158,CCC(CC)(N)CC1=C2C(C=CC=C2)=CC=C1,CCC(N)(CC1C=CC=C2C=CC=CC2=1)CC
159,ClCC1C2=C(C=C(O)C3C2=CC=CC=3)N(C1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CC(CCl)C2C3=CC=CC=C3C(O)=CC1=2
160,CS(=O)(=O)OCCCCOS(=O)(C)=O.CN(C)c1ccc(cc1)C(=O)Nc2sc(cn2)Sc3cc(c(OC)cc3C)C(=O)N4CCN(C(C)=O)CC4,CN(C)c1ccc(cc1)C(=O)Nc1[n]cc(Sc2cc(c(cc2C)OC)C(=O)N2CCN(CC2)C(C)=O)[s]1.CS(=O)(=O)OCCCCOS(C)(=O)=O
161,CCOC(OCC)C1N=C2N(C=CC=C2C=O)C=1,CCOC(OCC)C1=CN2C=CC=C(C=O)C2=N1
162,CCCCCC(CC(=O)[O-])N1C2C(=CC=C(Cl)C=2)C(O)=C1,CCCCCC(CC([O-])=O)N1C=C(O)C2=CC=C(Cl)C=C12
163,O=[N+]([O-])C1=NN(C)C(C)=C1,CC1=CC(=NN1C)[N+]([O-])=O
164,BrC1c2c(cccc2)C(Br)C1,BrC1CC(Br)c2ccccc21
165,CC1CN(CCC1)CC(=O)NC2SC(C)=NN=2,CC1=NN=C(NC(=O)CN2CCCC(C)C2)S1
166,CCOC(=O)C1CN(CCC1)C(=O)C2N=C(OC=2)CN(CCC3C4=C(C=CC=C4)NC=3)CC5=C(C=CC=C5)C(F)(F)F,CCOC(=O)C1CCCN(C1)C(=O)C1=COC(CN(CCC2=CNC3C=CC=CC=32)CC2C=CC=CC=2C(F)(F)F)=N1
167,CCCCCCCCCCCCCCCCN(C(=O)CCCCCCCC)c1ccc(C(=O)OCCCC)cc1,CCCCOC(=O)c1ccc(cc1)N(CCCCCCCCCCCCCCCC)C(=O)CCCCCCCC
168,CCOC(=O)CC1=CC=C(Cl)C=C1,CCOC(=O)CC1=CC=C(Cl)C=C1
169,N#CCC1C(C)=NN(C=1)C2CSCC2,CC1=NN(C=C1CC#N)C1CSCC1
170,CCCc1ccc(cc1)N(c2cc(SC)ccc2)c3c(cccc3)[N+](=O)[O-],CCCc1ccc(cc1)N(c1ccccc1[N+]([O-])=O)c1cc(ccc1)SC
171,CCOC(=O)CN(CC)c1c(Cl)nc(Cl)nc1,CCN(CC(=O)OCC)c1c[n]c(Cl)[n]c1Cl
172,OC(=O)CC1=C(C)C2=C(NN=C2C)OC1=O,CC1=C(CC(O)=O)C(=O)OC2NN=C(C)C1=2
173,C1CNC(CC1)CN2C(N)=CC(=N2)C(F)(F)F,NC1=CC(=NN1CC1CCCCN1)C(F)(F)F
174,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(O)C(=C4C(CCCC4)=C3)C5=C6C(CCCC6)=CC(C7=CC=C(C=C7)C8=CC=CC=C8)=C5O,OC1C(C2=C3CCCCC3=CC(C3C=CC(=CC=3)C3C=CC=CC=3)=C2O)=C2CCCCC2=CC=1C1C=CC(=CC=1)C1C=CC=CC=1
175,[Pt+4].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-],[Pt+4].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
176,O=CC1(O)C(C)(C)CCC1,CC1(C)CCCC1(O)C=O
177,CC1=CC=C(C=C1)C(=O)N(C)CCC2N=C(ON=2)C3=CC=C(C(O)=O)C=C3,CC1C=CC(=CC=1)C(=O)N(C)CCC1N=C(ON=1)C1C=CC(=CC=1)C(O)=O
178,CCCCOC(=O)c1ccc(cc1)N(CCc2ccccc2)CC(=O)OCCC(C)C,CCCCOC(=O)c1ccc(cc1)N(CC(=O)OCCC(C)C)CCc1ccccc1
179,Cl.CNC1CN(CCC1)C(=O)C2SC=CC=2,Cl.CNC1CN(CCC1)C(=O)C1=CC=CS1
180,CCOC(=O)C1C(=CC=CC=1)NC(=O)CN2C(=CC=C2)C3=NC(=NO3)C4=CC=C(F)C=C4,CCOC(=O)C1=CC=CC=C1NC(=O)CN1C=CC=C1C1=NC(=NO1)C1C=CC(F)=CC=1
181,CCOC(=O)CC(=O)N(Cc1cc(F)ccc1)c2ccc(OCC)cc2,CCOC(=O)CC(=O)N(Cc1cccc(F)c1)c1ccc(cc1)OCC
182,COC(=O)C1C(Cl)=NC(C)=CC=1,CC1=CC=C(C(Cl)=N1)C(=O)OC
183,OCC(O)CN(C(=O)C(C)C)c1c(O)cccc1,CC(C)C(=O)N(CC(O)CO)c1ccccc1O
184,Cl.N[C@@H]1CN(CC1)C(=O)C2CCC2,Cl.N[C@@H]1CN(CC1)C(=O)C1CCC1
185,OCC1=CC=C(C=C1)CNC2CC2,OCC1=CC=C(CNC2CC2)C=C1
186,CCCCCCN(CCN1CCOCC1)C(C)CCBr,CCCCCCN(CCN1CCOCC1)C(C)CCBr
187,COC(OC)CN(S(=O)(=O)C=C)c1c(O)cc([N+](=O)[O-])cc1,COC(CN(c1ccc(cc1O)[N+]([O-])=O)S(=O)(=O)C=C)OC
188,COC(=O)C1C(=CC=CC=1)C(=O)C(C)(C)CC,CCC(C)(C)C(=O)C1=CC=CC=C1C(=O)OC
189,CN1C2=C(C=CC=C2)\C(=N\NC3N=CC=CC=3)C1=O,CN1C(=O)/C(=N\NC2=CC=CC=N2)/C2C=CC=CC1=2
190,NCCc1cc(c(OC)c(OC)c1)c2c3c(cccc3)nc2C,Cc1[nH]c2ccccc2c1-c1cc(CCN)cc(OC)c1OC
191,FC1=CC(=CC=C1)CSC2C3N(C=CN=2)N=C(C=3)C4=C(C)C=CC(C)=C4,CC1C=CC(C)=CC=1C1C=C2C(=NC=CN2N=1)SCC1C=C(F)C=CC=1
192,C[Si](Cl)(C)Cl.C1=CC=C(C=C1)C(C2=CC=CC=C2)(O)C(C3=CC=CC=C3)(O)C4=CC=CC=C4,C[Si](C)(Cl)Cl.OC(C1C=CC=CC=1)(C1C=CC=CC=1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1
193,CC1=NN(C(C)=N1)C(=O)C2SC=CC=2,CC1=NC(C)=NN1C(=O)C1=CC=CS1
194,Cl.C1CN2C(NC1)=NN=N2,Cl.C1CCN2N=NN=C2N1
195,CCOC(=O)C1NC2=C(C=CN=C2)N=1,CCOC(=O)C1NC2C=NC=CC=2N=1
196,CC#CCC1(C=O)CCCC1,CC#CCC1(CCCC1)C=O
197,C=CCN1C(=NN=C1SCC(=O)C2C3=C(C=CC=C3)N(C)C=2)C4=CC=NC=C4,CN1C=C(C(=O)CSC2=NN=C(C3C=CN=CC=3)N2CC=C)C2C=CC=CC1=2
198,C1=CC=C(C=C1)C2=NCCC2,C1CCN=C1C1C=CC=CC=1
199,CCCOC(=O)CN(C(C)CC(O)=O)c1sc(=S)nn1,CCCOC(=O)CN(C(C)CC(O)=O)c1[n][nH]c(=S)[s]1
200,CN(C)\C=C\C1=C(C(=O)OC)C=C2C(C=CN(CC3=CC=C(OC)C=C3)C2=O)=N1,CN(C)/C=C/C1N=C2C=CN(CC3C=CC(=CC=3)OC)C(=O)C2=CC=1C(=O)OC
201,FC1C=C(C=CC=1)C2(C=O)CC2,O=CC1(CC1)C1C=CC=C(F)C=1
202,CSCN(CC)CC,CSCN(CC)CC
203,SCC1NN2C(=NC(C)=CC2=O)N=1,CC1=CC(=O)N2NC(CS)=NC2=N1
204,CN1C=C(C=N1)C(=O)NC2=CC3=C(N=CC=C3)C=C2,CN1C=C(C=N1)C(=O)NC1=CC2C=CC=NC=2C=C1
205,CCOC(=O)C1=C(C=CC=C1)C(C2=CC=C(O)C=C2)C3=CC=C(O)C=C3,CCOC(=O)C1C=CC=CC=1C(C1C=CC(O)=CC=1)C1C=CC(O)=CC=1
206,COCCN1C2C3C(CCN(C(=O)CC4=CC(F)=CC=C4)CC=3C=CC=2)=C1,COCCN1C=C2CCN(CC3C=CC=C1C=32)C(=O)CC1=CC(F)=CC=C1
207,CCOC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)C2C(O)=C3C(CC(C)OC3=O)=C(Cl)C=2,CC1CC2=C(Cl)C=C(C(=O)N[C@@H](CC3=CC=C(O)C=C3)C(=O)OCC)C(O)=C2C(=O)O1
208,CC(Cl)C(=O)N1CC(C(F)(F)F)(CC1)c2nc(no2)C3CC3,CC(Cl)C(=O)N1CC(CC1)(c1[n]c([n]o1)C1CC1)C(F)(F)F
209,CCN1CC2(NCC1)COCC2,CCN1CC2(COCC2)NCC1
210,COC(=O)[C@H]1NC(CC1)C2=CC=C(N)C=C2,COC(=O)[C@@H]1CCC(N1)C1C=CC(N)=CC=1
211,CC1C=C2C(=CC=1Cl)C(O)CC3(CCN(CC(O)C4C5=C(C=CC=C5)NC=4C)CC3)O2,CC1C=C2OC3(CC(O)C2=CC=1Cl)CCN(CC(O)C1C2C=CC=CC=2NC=1C)CC3
212,[Cl-].[Cu+],[Cl-].[Cu+]
213,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O.CCCCC\C=C/C\C=C/CCCCCCCC(O)=O.CCCCOCC1OC1.ClCC1OC1.OC1=CC=C(C=C1)C(C)(C)C2=CC=C(O)C=C2,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1.CCCCOCC1CO1.CCCCC/C=C\C/C=C\CCCCCCCC(O)=O.CCCCC/C=C\C/C=C\CCCCCCCC(O)=O.ClCC1CO1
214,CC(=O)CC(=O)NC1SC=CN=1,CC(=O)CC(=O)NC1=NC=CS1
215,COC1=CC=C(C=C1)CC2C=C(N)NN=2,COC1C=CC(CC2C=C(N)NN=2)=CC=1
216,CCOC(=O)CCOC1=C(Cl)C=C(C=C1)C(F)(F)F,CCOC(=O)CCOC1C=CC(=CC=1Cl)C(F)(F)F
217,O=[N+]([O-])c1cc(O)c(cc1)N(Cc2cc(F)ccc2)c3c(cccc3)[N+](=O)[O-],[O-][N+](=O)c1ccccc1N(Cc1cc(F)ccc1)c1ccc(cc1O)[N+]([O-])=O
218,c1ccc(cc1)Cn2c(nnn2)CN3CCNCC3,C(c1[n][n][n][n]1Cc1ccccc1)N1CCNCC1
219,Cl.NOCCCCOC1=CC=CC=C1,Cl.NOCCCCOC1C=CC=CC=1
220,OB(O)C1C=C(C=CC=1)C2=NC=CN2,OB(O)C1C=C(C=CC=1)C1NC=CN=1
221,OC(=O)CSC1C(C)=NC2=C(C=CC=C2)N=1,CC1=NC2C=CC=CC=2N=C1SCC(O)=O
222,COC1C=C(NC(=O)COC2C3=C(C=CC(OC)=C3)N=C(C(=O)OC)C=2)C=C(OC)C=1,COC(=O)C1C=C(OCC(=O)NC2C=C(C=C(C=2)OC)OC)C2C=C(C=CC=2N=1)OC
223,OCC1=C2N(C=CN(CC3=CC=C(Cl)C=C3)C2=O)N=C1C4=CC=C(F)C=C4,OCC1=C2C(=O)N(CC3C=CC(Cl)=CC=3)C=CN2N=C1C1C=CC(F)=CC=1
224,O=C1N=C(C=NN1)N/N=C/C2=CC([N+](=O)[O-])=C(O)C(OC)=C2,COC1=CC(/C=N/NC2C=NNC(=O)N=2)=CC(=C1O)[N+]([O-])=O
225,[H]Cl.NC1=CC(=CC=C1)C(N)=N,Cl.NC1C=CC=C(C=1)C(N)=N
226,COC1C(OC)=CC(=CC=1)C#CC2(O)CCCC2,COC1=CC(=CC=C1OC)C#CC1(O)CCCC1
227,NC(=O)CN(C(=O)c1c(Br)cccc1)c2c(OC)cccc2,COc1ccccc1N(CC(N)=O)C(=O)c1ccccc1Br
228,COCC(=O)N(CCO)c1cnc(Cl)cc1,COCC(=O)N(CCO)c1ccc(Cl)[n]c1
229,CC(N)Cc1cc(Cl)c(OC)c(F)c1,COc1c(F)cc(CC(C)N)cc1Cl
230,C1=CC=C(C=C1)COC2=CC(=CC=C2)C3=C(N)C=CN=C3,NC1C=CN=CC=1C1C=C(C=CC=1)OCC1C=CC=CC=1
231,Cl.OC(=O)C1(N)COCCC1,Cl.NC1(COCCC1)C(O)=O
232,OCCC#CC1=NC(=CN=C1)N2CCNCC2,OCCC#CC1C=NC=C(N=1)N1CCNCC1
233,CC(C)CCOC(=O)CN(CC(=O)OC)c1ncc(Cl)cc1,COC(=O)CN(CC(=O)OCCC(C)C)c1ccc(Cl)c[n]1
234,C=CCCN1C(=O)C=C(C(O)=O)C=C1,C=CCCN1C=CC(=CC1=O)C(O)=O
235,CC(C)C(=O)OC(C(C)C)C(C)(C)CO,CC(C)C(=O)OC(C(C)C)C(C)(C)CO
236,C1=CC=C(C=C1)N(C)CC(N)C2CC2,CN(CC(N)C1CC1)C1C=CC=CC=1
237,Cl.COC(=O)[C@]1(F)[C@H](CNC(=O)OC(C)(C)C)CNC1,Cl.CC(C)(C)OC(=O)NC[C@@H]1CNC[C@]1(F)C(=O)OC
238,CC(C)(C)OC1C(=CC(OC2CC2)=CC=1)B3OC(C)(C)C(C)(C)O3,CC(C)(C)OC1=CC=C(C=C1B1OC(C)(C)C(C)(C)O1)OC1CC1
239,CN1C(=CC=N1)C2C=C(C=CC=2)CC3NCCCC3,CN1N=CC=C1C1C=C(CC2CCCCN2)C=CC=1
240,OC1N=C2C(=NC1)NC(N)=NC2=O,NC1NC2=NCC(O)N=C2C(=O)N=1
241,Cc1nc(nc(C)c1)NS(=O)(=O)c2ccc(cc2)N(C(=O)c3c(Br)cccc3)c4c5c6c(cc4)N=C(C)c6ccc5,CC1=Nc2ccc(c3cccc1c23)N(c1ccc(cc1)S(=O)(=O)Nc1[n]c(C)cc(C)[n]1)C(=O)c1ccccc1Br
242,BrCCCCOc1c(C)cccc1C,Cc1cccc(C)c1OCCCCBr
243,CCCCCCOC(=O)CCC1N=CC(CCC(=O)OCCCCCC)=NC=1,CCCCCCOC(=O)CCC1=CN=C(CCC(=O)OCCCCCC)C=N1
244,NCCCCC(NC(=O)C(CO)NC(=O)C(C)NC(=O)C(CCSC)NC(=O)CN)C(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O,CC(C)CC(NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)CNC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(C)NC(=O)C(CCSC)NC(=O)CN)C(C)CC)C(C)CC)C(C)C)C(N)=O
245,COc1cc(ccc1)NC(=O)COc2c(cccc2)c3nc(no3)c4ccc(C)cc4,Cc1ccc(cc1)-c1[n]oc([n]1)-c1ccccc1OCC(=O)Nc1cccc(c1)OC
246,Cc1c(cccc1)\N=N\c2cc(C)c(cc2)N(CC(=O)c3ccccc3)c4ccc(cc4)c5nc(NCC6OCCC6)sc5,Cc1cc(ccc1N(CC(=O)c1ccccc1)c1ccc(cc1)-c1c[s]c(NCC2CCCO2)[n]1)/N=N/c1ccccc1C
247,Cl.O=[N+]([O-])C1C(=CC=CC=1F)OCC2CCNCC2,Cl.[O-][N+](=O)C1=C(F)C=CC=C1OCC1CCNCC1
248,ClC1N=NC(=CC=1)CN(C)C(=O)[C@@H](N)C(C)C,CC(C)[C@H](N)C(=O)N(C)CC1=CC=C(Cl)N=N1
249,COC1=CC(=CC=C1)CC(=O)CC(F)(F)F,COC1=CC(CC(=O)CC(F)(F)F)=CC=C1
250,CCCc1ccc(cc1)N(c2ccc(C(=O)OC)cc2)S(=O)(=O)c3c(C)cc(C)cc3C,CCCc1ccc(cc1)N(c1ccc(cc1)C(=O)OC)S(=O)(=O)c1c(C)cc(C)cc1C
251,Cl.NC1=CC(=CC=C1)COC2=CC(F)=CC=C2,Cl.NC1=CC(COC2C=CC=C(F)C=2)=CC=C1
252,COC1=CC(=CC=C1)N2C(=NN=C2)SCC(=O)C3=C(C4=CC=CC=C4)NC5=C3C=CC=C5,COC1=CC(=CC=C1)N1C=NN=C1SCC(=O)C1=C(NC2C=CC=CC=21)C1C=CC=CC=1
253,CC(=O)C1C=C(C=CC=1)NC(=O)C2C=C(C)C=CC=2,CC(=O)C1C=C(C=CC=1)NC(=O)C1C=C(C)C=CC=1
254,NCC1C=C(C=C(O)C=1)C(F)(F)F,NCC1C=C(C=C(O)C=1)C(F)(F)F
255,CCCCCCCCC(=O)N(C(CCCCCCCC)C(O)=O)c1ccc(cc1)S(=O)(N)=O,CCCCCCCCC(C(O)=O)N(c1ccc(cc1)S(N)(=O)=O)C(=O)CCCCCCCC
256,OCCCCCCl,OCCCCCCl
257,IC1C=C2C(=CC=1)N(C=N2)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1C=NC2=CC(I)=CC=C12
258,N#CC1C(C#N)=CC=C(N)C=1,NC1C=C(C#N)C(=CC=1)C#N
259,CCCOC1=C(OC)C=C(C=C1)[C@@H](N)C(F)(F)F,COC1C=C(C=CC=1OCCC)[C@@H](N)C(F)(F)F
260,CSCC[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](C)C(O)=O,C[C@H](NC(=O)[C@H](CCSC)NC(=O)OCC1C=CC=CC=1)C(O)=O
261,CCOC(=O)C(/C#N)=C(\O)/C(=C/C1=CC=CC=C1)/NC(=O)C2=CC=CC=C2,CCOC(=O)/C(/C#N)=C(\O)/C(=C/C1C=CC=CC=1)/NC(=O)C1C=CC=CC=1
262,OC1CCN(CC1)CC2=CC=C(C=C2)S(=O)(=O)N(C)C,CN(C)S(=O)(=O)C1=CC=C(CN2CCC(O)CC2)C=C1
263,NC(=O)C1C=C2C(=CC=1)C(O)=CC=N2,NC(=O)C1C=C2N=CC=C(O)C2=CC=1
264,[Na+].[Na+].[Na+].[Na+].O=S([O-])(=O)C1C2=C(C=CC=C2)C(=CC=1)/N=N/C3=C(O)C4=C(C=C(S(=O)(=O)[O-])C(/N=N/C5C6=C(C=CC=C6)C(=CC=5)S(=O)(=O)[O-])=C4O)C=C3S(=O)(=O)[O-],[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC2C=C(C(/N=N/C3=CC=C(C4C=CC=CC=43)S([O-])(=O)=O)=C(O)C=2C(O)=C1/N=N/C1=CC=C(C2C=CC=CC=21)S([O-])(=O)=O)S([O-])(=O)=O
265,BrCCC(C)N(CC(N)=O)c1ccc(cc1)S(=O)(=O)NC(N)=O,CC(CCBr)N(CC(N)=O)c1ccc(cc1)S(=O)(=O)NC(N)=O
266,CCOC1=CC=C(C=C1)OC(C)C(=O)NNC(=O)CC2=CC(OC)=C(OC)C(OC)=C2,CCOC1=CC=C(C=C1)OC(C)C(=O)NNC(=O)CC1=CC(OC)=C(OC)C(=C1)OC
267,S=c1sc(nn1)N(C(C)(C)C(O)=O)C(C)(C)C(O)=O,CC(C)(C(O)=O)N(c1[n][nH]c(=S)[s]1)C(C)(C)C(O)=O
268,CCOC(=O)C(C)(C)OC1C=NC(C)=CC=1,CC1=CC=C(C=N1)OC(C)(C)C(=O)OCC
269,O=[N+]([O-])c1ccc(cc1)N(C(=O)c2ccccc2)c3c(Cl)nc(Cl)nc3,[O-][N+](=O)c1ccc(cc1)N(c1c[n]c(Cl)[n]c1Cl)C(=O)c1ccccc1
270,Cl.ClCC1C(Br)=CC=CN=1,Cl.ClCC1=NC=CC=C1Br
271,c1ccc(cc1)C(=O)CN(c2ccccc2)c3sc(S)nn3,O=C(CN(c1[n][n]c(S)[s]1)c1ccccc1)c1ccccc1
272,O=[N+]([O-])c1sc(nc1)N(c2ccc(cc2)c3nc(NCC4OCCC4)sc3)c5c(C)cccc5,Cc1ccccc1N(c1[n]cc([s]1)[N+]([O-])=O)c1ccc(cc1)-c1c[s]c(NCC2CCCO2)[n]1
273,[Cl-].CC1=CC=[N+](C=C1)CC2=CC=CC=C2,[Cl-].CC1C=C[N+](CC2C=CC=CC=2)=CC=1
274,[H]Cl.BrC1=CN=C(N=C1)OC2CNCCC2,Cl.BrC1=CN=C(N=C1)OC1CNCCC1
275,CC(=O)C1[N+]([O-])=CC=CC=1O,CC(=O)C1=C(O)C=CC=[N+]1[O-]
276,CCCCN(CC(=O)N(CC1=CC=C(C)C=C1)CCC2C3=C(C=CC=C3)NC=2)C(=O)C(CC)CC,CC1C=CC(CN(CCC2=CNC3C=CC=CC=32)C(=O)CN(CCCC)C(=O)C(CC)CC)=CC=1
277,OC(=O)CCCN1C(=O)C(/SC1=S)=C\C2OC(=CC=2)C3C=C([N+](=O)[O-])C=CC=3,[O-][N+](=O)C1=CC(=CC=C1)C1=CC=C(/C=C2/SC(=S)N(CCCC(O)=O)C/2=O)O1
278,CCCCCCCCCCCCCCN(c1scnc1)c2c(Cl)nc(Cl)nc2,CCCCCCCCCCCCCCN(c1c[n]c(Cl)[n]c1Cl)c1c[n]c[s]1
279,O=[N+]([O-])c1sc(nc1)N(Cc2ccccc2)c3ccccc3,[O-][N+](=O)c1c[n]c([s]1)N(Cc1ccccc1)c1ccccc1
280,CC(C)CC(C(O)=O)N(c1scnc1)c2ccc(cc2)S(=O)(=O)Nc3ccccc3,CC(C)CC(C(O)=O)N(c1c[n]c[s]1)c1ccc(cc1)S(=O)(=O)Nc1ccccc1
281,CCCCCCCCCCCCCCCC(=O)N(CCC(O)=O)c1c(OC)cccc1,CCCCCCCCCCCCCCCC(=O)N(CCC(O)=O)c1ccccc1OC
282,C=CCN1C(=O)C(/NC1=O)=C\C2N(C=CC=2)C3=CC=C(Br)C=C3,C=CCN1C(=O)/C(=C\C2=CC=CN2C2C=CC(Br)=CC=2)/NC1=O
283,Cl.COC1C=C(O)C=C(N)C=1,Cl.COC1C=C(O)C=C(N)C=1
284,Cl.COCC1CNC1,Cl.COCC1CNC1
285,COC1C(C(O)=O)=CC2=C(OCO2)C=1,COC1=CC2OCOC=2C=C1C(O)=O
286,NC(=O)CN(c1ccc(cc1)S(=O)(=O)Nc2n(ncc2)c3ccccc3)S(=O)(=O)c4c(C)cc(C)cc4C,Cc1cc(C)c(c(C)c1)S(=O)(=O)N(CC(N)=O)c1ccc(cc1)S(=O)(=O)Nc1cc[n][n]1-c1ccccc1
287,O=C1C(CCC1)n2cc(cn2)B3OC(C)(C)C(C)(C)O3,CC1(C)OB(OC1(C)C)c1c[n]([n]c1)C1CCCC1=O
288,CC(=O)CN1C(=O)N=NN1,CC(=O)CN1NN=NC1=O
289,CC(=O)C1C2C(=NC=CC=2)SC=1,CC(=O)C1=CSC2=NC=CC=C12
290,CC(C)NC1=NC(=O)C(C(O)=O)=CN1,CC(C)NC1NC=C(C(O)=O)C(=O)N=1
291,C1N=C(SC=1)NC(=O)C(C)SC2N(C)C(=NN=2)C3=C(F)C=CC=C3,CC(SC1=NN=C(C2C=CC=CC=2F)N1C)C(=O)NC1=NC=CS1
292,ClCCCCN(CCCBr)C(=O)CCC,CCCC(=O)N(CCCBr)CCCCCl
293,CCNC(=O)C1N=CC=NC=1,CCNC(=O)C1=CN=CC=N1
294,COC1C(Br)=NC=CC=1O,COC1=C(O)C=CN=C1Br
295,COC1=CC(=CC=C1)C(O)C2=CSC=C2,COC1=CC(=CC=C1)C(O)C1=CSC=C1
296,C#CCCC#COC#CCCC#C,C#CCCC#COC#CCCC#C
