id,smile
241,Cc1nc(nc(C)c1)NS(=O)(=O)c2ccc(cc2)N(C(=O)c3c(Br)cccc3)c4c5c6c(cc4)N=C(C)c6ccc5
242,BrCCCCOc1c(C)cccc1C
243,CCCCCCOC(=O)CCC1N=CC(CCC(=O)OCCCCCC)=NC=1
244,NCCCCC(NC(=O)C(CO)NC(=O)C(C)NC(=O)C(CCSC)NC(=O)CN)C(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(C)C)C(N)=O
245,COc1cc(ccc1)NC(=O)COc2c(cccc2)c3nc(no3)c4ccc(C)cc4
246,Cc1c(cccc1)\N=N\c2cc(C)c(cc2)N(CC(=O)c3ccccc3)c4ccc(cc4)c5nc(NCC6OCCC6)sc5
247,Cl.O=[N+]([O-])C1C(=CC=CC=1F)OCC2CCNCC2
248,ClC1N=NC(=CC=1)CN(C)C(=O)[C@@H](N)C(C)C
249,COC1=CC(=CC=C1)CC(=O)CC(F)(F)F
250,CCCc1ccc(cc1)N(c2ccc(C(=O)OC)cc2)S(=O)(=O)c3c(C)cc(C)cc3C
251,Cl.NC1=CC(=CC=C1)COC2=CC(F)=CC=C2
252,COC1=CC(=CC=C1)N2C(=NN=C2)SCC(=O)C3=C(C4=CC=CC=C4)NC5=C3C=CC=C5
253,CC(=O)C1C=C(C=CC=1)NC(=O)C2C=C(C)C=CC=2
254,NCC1C=C(C=C(O)C=1)C(F)(F)F
255,CCCCCCCCC(=O)N(C(CCCCCCCC)C(O)=O)c1ccc(cc1)S(=O)(N)=O
256,OCCCCCCl
257,IC1C=C2C(=CC=1)N(C=N2)C(=O)OC(C)(C)C
258,N#CC1C(C#N)=CC=C(N)C=1
259,CCCOC1=C(OC)C=C(C=C1)[C@@H](N)C(F)(F)F
